Psaume - Numéro	Psaume - Etiquette	Classe
1	Psalm_1	Beatus vir qui non abiit in consilio impiorum, et in via peccatorum non stetit, et in cathedra pesti | HORAE | Psalm 1 | Psalm | h168
2	Psalm_2	Quare fremuerunt gentes, et populi meditati sunt inania ? Astiterunt reges terrae,Quare fremuerunt ge | HORAE | Psalm 2 | Psalm | h993
3	Psalm_3	Domine, quid multiplicati sunt qui tribulant me ?Multi insurgunt adversum me ; multi dicunt animae m | HORAE | Psalm 3 | Psalm | h385
4	Psalm_4	Cum invocarem exaudivit me Deus justitiae meae,in tribulatione dilatasti mihi.Miserere mei, et exaud | HORAE | Psalm 4 | Psalm | h244
5	Psalm_5	Verba mea auribus percipe, Domine ;intellige clamorem meum. Intende voci orationis meae,rex meus et  | HORAE | Psalm 5 | Psalm | h1255
6	Psalm_6	Domine, ne in furore tuo arguas me,neque in ira tua corripias me. Miserere mei, Domine, quoniam infi | HORAE | Psalm 6 | Psalm | h383
7	Psalm_7	Domine Deus meus, in te speravi ;salvum me fac ex omnibus persequentibus me, et libera me : nequando | HORAE | Psalm 7 | Psalm | h365
8	Psalm_8	Domine, Dominus noster,quam admirabile est nomen tuum in universa terra !quoniam elevata est magnifi | HORAE | Psalm 8 | Psalm | h378
9	Psalm_9	Confitebor tibi, Domine, in toto corde meo ; narrabo omnia mirabilia tua. Laetabor et exsultabo in t | HORAE | Psalm 9 | Psalm | h4413
10	Psalm_10	In Domino confido ; quomodo dicitis animae meae :Transmigra in montem sicut passer ? Quoniam ecce pe | HORAE | Psalm 10 | Psalm | h4414
11	Psalm_11	Salvum me fac, Domine, quoniam defecit sanctus, quoniam diminutae sunt veritates a filiis hominum. V | HORAE | Psalm 11 | Psalm | h4415
12	Psalm_12	Usquequo, Domine, oblivisceris me in finem ?usquequo avertis faciem tuam a me ? quamdiu ponam consil | HORAE | Psalm 12 | Psalm | h1229
13	Psalm_13	Dixit insipiens in corde suo : Non est Deus. Corrupti sunt, et abominabiles facti sunt in studiis su | HORAE | Psalm 13 | Psalm | h4416
14	Psalm_14	Domine, quis habitabit in tabernaculo tuo ?aut quis requiescet in monte sancto tuo ? Qui ingreditur  | HORAE | Psalm 14 | Psalm | h386
15	Psalm_15	Conserva me, Domine, quoniam speravi in te. Dixi Domino : Deus meus es tu, quoniam bonorum meorum no | HORAE | Psalm 15 | Psalm | h4417
16	Psalm_16	Exaudi, Domine, justitiam meam ; intende deprecationem meam. Auribus percipe orationem meam, non in  | HORAE | Psalm 16 | Psalm | h4418
17	Psalm_17	Diligam te, Domine, fortitudo mea. Dominus firmamentum meum, et refugium meum, et liberator meus. De | HORAE | Psalm 17 | Psalm | h4419
18	Psalm_18	Caeli enarrant gloriam Dei,et opera manuum ejus annuntiat firmamentum. Dies diei eructat verbum,et n | HORAE | Psalm 18 | Psalm | h190
19	Psalm_19	Exaudiat te Dominus in die tribulationis ; protegat te nomen Dei Jacob. Mittat tibi auxilium de sanc | HORAE | Psalm 19 | Psalm | h4420
20	Psalm_20	Domine, in virtute tua laetabitur rex, et super salutare tuum exsultabit vehementer. Desiderium cord | HORAE | Psalm 20 | Psalm | h4421
21	Psalm_21	Deus, Deus meus, respice in me : quare me dereliquisti ? longe a salute mea verba delictorum meorum. | HORAE | Psalm 21 | Psalm | h4462
22	Psalm_22	Dominus regit me, et nihil mihi deerit : in loco pascuae, ibi me collocavit.Super aquam refectionis  | HORAE | Psalm 22 | Psalm | h392
23	Psalm_23	Domini est terra, et plenitudo ejus ;orbis terrarum, et universi qui habitant in eo. Quia ipse super | HORAE | Psalm 23 | Psalm | h387
24	Psalm_24	Ad te, Domine, levavi animam meam : Deus meus, in te confido ; non erubescam. Neque irrideant me ini | HORAE | Psalm 24 | Psalm | h28
25	Psalm_25	Judica me, Domine, quoniam ego in innocentia mea ingressus sum, et in Domino sperans non infirmabor. | HORAE | Psalm 25 | Psalm | h4422
26	Psalm_26	Dominus illuminatio mea et salus mea : quem timebo ?Dominus protector vitae meae :a quo trepidabo ?  | HORAE | Psalm 26 | Psalm | h390
27	Psalm_27	Ad te, Domine, clamabo ; Deus meus, ne sileas a me :nequando taceas a me, et assimilabor descendenti | HORAE | Psalm 27 | Psalm | h4585
28	Psalm_28	Afferte Domino, filii Dei, afferte Domino filios arietum. Afferte Domino gloriam et honorem ; affert | HORAE | Psalm 28 | Psalm | h4586
