id	text	text_type	label
36	Adiutorum nostrum in nomine Domini qui fecit celum et terram	Absolution	Adiutorum nostrum in nomine Domini qui fecit celum et terram | Huot I  |  | Absolution | h36
509	Exaudi Domine Jesu Christe preces servorum tuorum qui in trinitate perfecta vivis et regnas Deus per omnia secula seculorum	Absolution	Exaudi Domine Jesu Christe preces servorum tuorum qui in trinitate perfecta vivis et regnas Deus per | Huot II |  | Absolution | h509
521	Exurge Domine adiuva nos et libera nos propter nomen tuum	Absolution	Exurge Domine adiuva nos et libera nos propter nomen tuum | Huot III |  | Absolution | h521
666	Intercessio gloriose semperque virginis Marie contra cuncta nobis adversancia misericordiam semper imploret	Absolution	Intercessio gloriose semperque virginis Marie contra cuncta nobis adversancia misericordiam semper i | Huot IV a |  | Absolution | h666
667	Intercessio gloriose semperque virginis Marie et omnium sanctorum et sanctarum Dei contra cuncta nobis adversancia misericordiam Domini semper imploret	Absolution	Intercessio gloriose semperque virginis Marie et omnium sanctorum et sanctarum Dei contra cuncta nob | Huot IV b |  | Absolution | h667
897	Ostende nobis Domine misericordiam tuam et salutare tuum da nobis	Absolution	Ostende nobis Domine misericordiam tuam et salutare tuum da nobis | Huot V |  | Absolution | h897
915	Per deprecacionem beatissime virginis Marie acque omnium sanctorum tribuat nobis Jesus Christus celeste gaudium	Absolution	Per deprecacionem beatissime virginis Marie acque omnium sanctorum tribuat nobis Jesus Christus cele | Huot VI |  | Absolution | h915
918	Per merita gloriosissime virginis Marie et omnium sanctorum et sanctarum Dei perducat nos Dominus ad regna celorum	Absolution	Per merita gloriosissime virginis Marie et omnium sanctorum et sanctarum Dei perducat nos Dominus ad | Huot VII |  | Absolution | h918
945	Precibus et meritis beate Dei genitricis Marie salvet et misereatur nostri omnipotens pater pius et misericors Dominus	Absolution	Precibus et meritis beate Dei genitricis Marie salvet et misereatur nostri omnipotens pater pius et  | Huot VIII a |  | Absolution | h945
946	Precibus et meritis beate Marie semper virginis et omnium sanctorum perducat nos Dominus ad regna celorum	Absolution	Precibus et meritis beate Marie semper virginis et omnium sanctorum perducat nos Dominus ad regna ce | Huot VIII b |  | Absolution | h946
947	Precibus et meritis beate Marie virginis et omnium sanctorum perducat nos Dominus ad regna celorum	Absolution	Precibus et meritis beate Marie virginis et omnium sanctorum perducat nos Dominus ad regna celorum | Huot VIII c |  | Absolution | h947
