num_line	Volume	Psalm	URL	Confidence Score
923	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	129	https://arkindex.teklia.com/element/0a15f0da-2508-431d-a326-aa6116c59506	72.55%
977	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	6	https://arkindex.teklia.com/element/83e4a7fe-f89e-4ca1-ac99-8e98491a3901	80.46%
1003	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	31	https://arkindex.teklia.com/element/b475980d-9ded-43ce-aa25-8de3a0f7a298	73.91%
1033	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	37	https://arkindex.teklia.com/element/d84288c5-806a-4f8c-9116-0d9efa59e50e	67.09%
1083	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	50	https://arkindex.teklia.com/element/e5b35dde-cb33-410a-b464-58f5b64bd26e	69.48%
1125	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	101	https://arkindex.teklia.com/element/5d3862a2-2e87-40e8-9fff-6370fa8e89a6	72.63%
1184	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	129	https://arkindex.teklia.com/element/97b754d8-7186-4eac-a477-65cb9ad59619	70.59%
1197	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	142	https://arkindex.teklia.com/element/79adb933-374d-4468-946c-1fb09acc199e	83.05%
2125	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	6	https://arkindex.teklia.com/element/b57ffa96-ddef-4d4f-bc58-07335d3f7ceb	50.57%
2235	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	50	https://arkindex.teklia.com/element/cfb95494-f97f-42b2-9dca-b5067d8c95d7	43.51%
2513	Suisse, Genève, Bibliothèque de Genève, Comites Latentes 038	142	https://arkindex.teklia.com/element/97ef788f-88f8-477d-8025-1542317d5565	62.71%
2371	France, Beaune, Bibliothèque municipale, 055 (054)	31	https://arkindex.teklia.com/element/ee7cd6f4-6923-4ef0-ac4e-6e0f4e75be8e	60.0%
2403	France, Beaune, Bibliothèque municipale, 055 (054)	37	https://arkindex.teklia.com/element/65898861-521b-4032-bf0e-2967be631844	74.05%
